"account","activities","low","calculated","start","end"
"GC7FG4WOA6KBX4KSKWGQSU7QYN5IJCE4PG7QINQIHFUT7YD4YEJMJDEJ","2","11316.3346877","12516.3346877","11316.3346877","13000.71536"
"GDQ7PYVNKCMMOD2I4UONYZ4J5PYKKENEZVQHQ3PFAYXPGFOJOMY7S5IO","0","11266.35","11266.35","11266.35","11266.35"
"GBBUVTMIBIVW3JP5GKHJNUT7P4CQMT76ONRUOO4RI5KHF7FXQW54J6JT","0","11211.4432373","11211.4432373","11211.4432373","11211.4432373"
"GDDVPYKEA3EZKL2W5EEJC3A2DLJK3VUQ2ZTZGPTAUTY3WSZKROPIUJE4","0","11170.1160592","11170.1160592","11170.1160592","11170.1160592"
"GBNBKBQJYYXRZZMJ5FNPMJ5SNB33E3KJSUS7JJPW36QPCK3G2WL5PKI4","0","11151.8127295","11151.8127295","11151.8127295","67838.4456149"
"GD7WGZNZ7HUZLXWZXEOBYFYOTRUS53B6PV7IRMQC3OAUMFTM4MJI7VCE","0","11134.43","11134.43","11134.43","11134.43"
"GATD3Y2H5TAPFLAJG53B7NPT3MOCYCRNXMRDKNCSJ6CDDDVVNAKLUQ6W","0","11132.1152129","11132.1152129","11132.1152129","11132.1152129"
"GBHPDPCRKEX6UTIXDHGIEU3VHUVH7X22DBVTO3JOO64KTDTJF5YVYNPI","0","11100","11100","11100","11100"
"GD4I37FLKBGFNMOYY7UXBQ67DLBCIB2OYBVGGWOZO7CEB3EBULGWXFJY","2","11.3924037","10511.3924037","11049.3924037","10511.3924037"
"GCVCKV35NHGBSYMD7CCQK7EVFWQWRQNNKVT25KBZUBSYBHXOH7ECLHI5","0","11034.640012","11034.640012","11034.640012","11034.640012"
"GD5MGLR5BHYGIDMNP32Y3GKTW2CHXP7Z7RNMUOLMPBLEX2X5YXYHM2MI","0","11026.9999969","11026.9999969","11026.9999969","11026.9999969"
"GC7MYJVYO3JPPRILGAOGG4YXTMOP3N4CXKLAXZQK6MGQ3A3S6IG3PE2D","0","11021.09","11021.09","11021.09","11021.09"
"GD7AF2KUAERV3H2PHCAIKN5I2B2HWWARKOZKM62YPQIPBO4JMXJAX3LP","0","11019.0152954","11019.0152954","11019.0152954","21019.0152954"
"GALIYJO2XK5QJZE7NSTBUUY3F3ZMFAKAJRLDZNMZ5D2PTR5R6AOA3B5D","0","11014.9999989","11014.9999989","11014.9999989","11014.9999989"
"GBWKKLLDHWK5VOK4W27T74E7CF4CMFL7SCHWZTBFI4IUCMH4YG7IOKEF","1","10009.8479075","10009.8479075","11009.8479075","10009.8479075"
"GBFC4TBT2NQHU6XRVUPCIMWMVDVSF7OAL7TZXYLIZRLVQGIYNXXS27PS","0","11004.9099979","11004.9099979","11004.9099979","11004.9099979"
"GA7KWQJZ3NRRGQOLVDY4G7MBL7UA7YOCGFWGGDOM7WYWU5LHWWK77VNR","0","11001.3780227","11001.3780227","11001.3780227","12501.3780227"
"GDQ7Q6CKXGYMZWNHDWN4DVZ63SOO4SU4OPX3OTOCBTTRCSTRZJDG3BHG","0","11001.004997","11001.004997","11001.004997","11001.004997"
"GDPD2PFM2Q2MHHSFMYLZAMGLRHAT233ISHQO5BK63JWBGMOB4727EMFS","0","11000.30233","11000.30233","11000.30233","11000.30233"
"GCHWQM5JNGBICZ5PZB4SOG6T47GYGAXHJN67LZMEXQ4OKA2TV2YO5S74","0","11000","11000","11000","11000"
"GBQH6SPJCHDW4JJEYSDLGTCAIYZLJP7ZLWT5M3PQUDPY6OOCWUCN4DDZ","0","10999.999997","10999.999997","10999.999997","10999.999997"
"GDR43IWRV4IOQCHK44K6A6XT4WEOKYELS5YGCJNQ3U3HTJ2XVVBHNNDH","0","10982.8378721","10982.8378721","10982.8378721","10982.8378721"
"GAO5LVVGOO3IGNZ57XU6767AHL5WCQGN46J67BBMEAOKD4PPIEXPLAFY","0","10777.4847671","10777.4847671","10777.4847671","10777.4847671"
